trip_id,start_time,end_time,duration,start_station,end_station,user_type
1,2024-01-01 08:15:27,2024-01-01 08:25:27,600,Station A,Station B,Subscriber
2,2024-01-02 09:05:10,2024-01-02 09:25:10,1200,Station C,Station D,Customer
3,2024-01-03 10:45:00,2024-01-03 11:00:00,900,Station A,Station C,Subscriber
4,2024-01-04 14:20:35,2024-01-04 14:50:35,1800,Station B,Station D,Customer
5,2024-01-05 16:00:00,2024-01-05 16:10:00,600,Station D,Station A,Subscriber
6,2024-01-06 18:30:15,2024-01-06 18:50:15,1200,Station C,Station B,Customer
7,2024-01-07 07:10:05,2024-01-07 07:20:05,600,Station A,Station D,Subscriber
8,2024-01-08 12:00:00,2024-01-08 12:35:00,2100,Station B,Station C,Customer
9,2024-01-09 15:45:30,2024-01-09 16:05:30,1200,Station D,Station B,Subscriber
10,2024-01-10 19:10:10,2024-01-10 19:25:10,900,Station C,Station A,Customer
